state,state_usps_x,EV_Count,station_count,median_income,population_x,EV_per_1000_pop,Stations_per_100k_pop,EV_per_station,Income_Index,population_y,station_count_stations_extra,median_income_income_extra,renewable_energy_btu,total_energy_btu,renewable_share,state_usps_y,num_ev_laws,num_incentives,num_regulations,policy_score,latest_model_year,n_vehicles_latest,avg_range_latest,bev_share_latest,phev_share_latest,renewable_share_pct,ideal_station_count,charger_gap
Maine,ME,33,77,76442.0,1364571.0,0.0241834246807238,5.642799092168894,0.4285714285714285,0.9256631081316722,1364571.0,,76442.0,0.0,328596.0,0.0,ME,20,4,15,31.5,2018,1,33.0,0.0,100.0,0.0,1.65,-75.35
Minnesota,MN,220,91,87117.0,5710735.0,0.0385239378118578,1.593490154945029,2.417582417582417,1.0549304438804177,5710735.0,,87117.0,124626.0,1689356.0,0.0737713069358974,MN,16,5,11,26.5,2019,1,220.0,100.0,0.0,7.377130693589747,11.0,-80.0
Missouri,MO,629,59,71589.0,6154744.0,0.1021975893717106,0.958610138780752,10.66101694915254,0.8668964214442098,6154744.0,,71589.0,95947.0,1681954.0,0.0570449608015439,MO,8,2,6,13.0,2020,2,306.5,100.0,0.0,5.704496080154392,31.45,-27.55
Mississippi,MS,0,39,59127.0,2958536.0,0.0,1.3182195518323927,0.0,0.7159896731443628,2958536.0,,59127.0,122807.0,1074319.0,0.1143114847638364,MS,8,2,7,13.5,2021,1,0.0,100.0,0.0,11.431148476383644,0.0,-39.0
North Carolina,NC,126,132,73958.0,10449652.0,0.0120578178105835,1.2631999611087523,0.9545454545454546,0.8955834770309805,10449652.0,,73958.0,442493.0,2472784.0,0.1789452697849873,NC,23,7,16,38.0,2022,1,0.0,100.0,0.0,17.894526978498728,6.3,-125.7
North Dakota,ND,22,21,77871.0,779563.0,0.0282209391672,2.6938169205054625,1.0476190476190477,0.9429673725611764,779563.0,,77871.0,0.0,703926.0,0.0,ND,7,2,5,11.5,2018,1,22.0,0.0,100.0,0.0,1.1,-19.9
Nebraska,NE,609,23,76376.0,1963387.0,0.3101782786582573,1.1714450589720722,26.47826086956522,0.9248638908802046,1963387.0,,76376.0,72391.0,840136.0,0.0861658112496072,NE,10,3,7,16.5,2021,3,84.66666666666667,66.66666666666666,33.33333333333333,8.616581124960721,30.45,7.449999999999999
New Hampshire,NH,346,62,99782.0,1378756.0,0.2509508571494884,4.496807266840543,5.580645161290323,1.2082953906961424,1378756.0,,99782.0,99658.0,294907.0,0.3379302627608025,NH,14,2,12,22.0,2020,1,308.0,100.0,0.0,33.793026276080255,17.3,-44.7
New Jersey,NJ,79,102,104294.0,9272794.0,0.0085195465358121,1.099992084370687,0.7745098039215687,1.262932788251022,9272794.0,,104294.0,296162.0,1982296.0,0.1494035199586741,NJ,37,12,25,61.5,2021,1,25.0,0.0,100.0,14.940351995867418,3.95,-98.05
New Mexico,NM,238,23,67816.0,2118606.0,0.1123380184895162,1.0856195064112912,10.347826086956522,0.8212078352353089,2118606.0,,67816.0,0.0,680489.0,0.0,NM,15,5,10,25.0,2018,1,238.0,100.0,0.0,0.0,11.9,-11.1
